,0
0,ALGORITMOS E PROGRAMAÇÃO DE COMPUTADORES I
1,FUNDAMENTOS DE ADMINISTRAÇÃO
2,GERÊNCIA DE DADOS SEMI-ESTRUTURADOS
3,GERÊNCIA DE REDES
4,INTRODUÇÃO A TECNOLOGIA DA INFORMAÇÃO
5,LEITURA E PRODUÇÃO TEXTUAL
6,MATEMÁTICA APLICADA A SISTEMAS DE INFORMAÇÃO
7,MATEMÁTICA FUNDAMENTAL
8,PESQUISA OPERACIONAL
9,PROGRAMAÇÃO ORIENTADA A OBJETOS I
10,REDES DE COMPUTADORES I
11,ALGORITMOS E PROGRAMAÇÃO DE COMPUTADORES II
12,FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO
13,GERENCIAMENTO DE PROJETO
14,GOVERNANÇA DE TECNOLOGIA DA INFORMAÇÃO
15,LEGISLAÇÃO E ÉTICA NA INFORMÁTICA
16,MARKETING ELETRÔNICO
17,MATEMÁTICA DISCRETA
18,PESQUISA EM INFORMÁTICA
19,ÁLGEBRA I
20,DESENHO GEOMÉTRICO
21,DIDÁTICA I
22,EDUCAÇÃO INCLUSIVA
23,EQUAÇÕES DIFERENCIAIS ORDINÁRIAS
24,ESTÁGIO SUPERVISIONADO I
25,ESTATÍSTICA E TRATAMENTO DA INFORMAÇÃO
26,FÍSICA I
27,FUNÇÕES REAIS DE UMA VARIÁVEL I
28,GEOMETRIA ANALÍTICA
29,GEOMETRIA PLANA
30,ÁLGEBRA LINEAR I
31,LABORATÓRIO DE PRÁTICA E ENSINO-APRENDIZAGEM I
32,ÁLGEBRA LINEAR COMPUTACIONAL
33,ESTÁGIO SUPERVISIONADO II
34,ESTÁGIO SUPERVISIONADO IV
35,FILOSOFIA DA EDUCAÇÃO
36,ALFABETIZAÇÃO E LETRAMENTO II
37,ESTÁGIO SUPERVISIONADO I - EDUCAÇÃO INFANTIL
38,ESTATÍSTICA
39,ALFABETIZAÇÃO E LETRAMENTO I
40,ESTÁGIO SUPERVISIONADO - GESTÃO
41,ESTÁGIO SUPERVISIONADO II - EDUCAÇÃO INFANTIL
42,ÉTICA E BIOÉTICA
43,FILOSOFIA E EDUCAÇÃO
44,FUNDAMENTOS E METODOLOGIA EM ARTES
45,FUNDAMENTOS E METODOLOGIA EM GEOGRAFIA
46,FUNDAMENTOS E METODOLOGIA EM HISTÓRIA
47,LPB0323
48,FUNDAMENTOS EM MATEMÁTICA
49,GESTÃO ESCOLAR
50,ASPECTOS PROCESSUAIS EM TRANSAÇÕES IMOBILIÁRIAS
51,GESTÃO DE PESSOAS
52,GESTÃO EMPRESARIAL
53,"INCORPORAÇÃO, INSTITUIÇÃO DE CONDOMÍNIO E SFH-SFI"
54,INFORMÁTICA I
55,INTEGRAÇÃO COM A COMUNIDADE I
56,INTEGRAÇÃO COM A COMUNIDADE II
57,MARKETING I
58,MARKETING III
59,MATEMÁTICA
60,ORGANIZAÇÃO DE EVENTOS
61,AVALIAÇÃO DE IMÓVEIS
62,PESQUISA IMOBILIÁRIA II
63,PORTUGUÊS INSTRUMENTAL E COMUNICAÇÃO I
64,PRÁTICAS IMOBILIÁRIAS I
65,CONSTRUÇÃO CIVIL
66,DESENHO ARQUITETÔNICO
67,DIREITO E LEGISLAÇÃO IMOBILIÁRIA I
68,DIREITO E LEGISLAÇÃO IMOBILIÁRIA III
69,DIREITO URBANÍSTICO
70,ECONOMIA I
71,ESPANHOL I
